央视频道,#genre#
CCTV1,http://111.197.224.161:4022/rtp/239.3.1.129:8008
CCTV2,http://111.197.224.161:4022/rtp/239.3.1.60:8084
CCTV3,http://111.197.224.161:4022/rtp/239.3.1.172:8001
CCTV4欧洲,http://111.197.224.161:4022/rtp/239.3.1.213:4220
CCTV4美洲,http://111.197.224.161:4022/rtp/239.3.1.214:4220
CCTV4,http://111.197.224.161:4022/rtp/239.3.1.105:8092
CCTV5,http://111.197.224.161:4022/rtp/239.3.1.173:8001
CCTV5+,http://111.197.224.161:4022/rtp/239.3.1.130:8004
CCTV6,http://111.197.224.161:4022/rtp/239.3.1.174:8001
CCTV7,http://111.197.224.161:4022/rtp/239.3.1.61:8104
CCTV8,http://111.197.224.161:4022/rtp/239.3.1.175:8001
CCTV10,http://111.197.224.161:4022/rtp/239.3.1.78:4120
CCTV13,http://111.197.224.161:4022/rtp/239.3.1.124:8128
CCTV15,http://111.197.224.161:4022/rtp/239.3.1.153:8136
CCTV17,http://111.197.224.161:4022/rtp/239.3.1.151:8144

卫视频道,#genre#
山东卫视,http://111.197.224.161:4022/rtp/239.3.1.209:8052
湖北卫视,http://111.197.224.161:4022/rtp/239.3.1.138:8044
湖南卫视,http://111.197.224.161:4022/rtp/239.3.1.132:8012
吉林卫视,http://111.197.224.161:4022/rtp/239.3.1.240:8172
辽宁卫视,http://111.197.224.161:4022/rtp/239.3.1.210:8056
浙江卫视,http://111.197.224.161:4022/rtp/239.3.1.137:8036
新疆卫视,http://111.197.224.161:4022/rtp/239.3.1.48:8160
山西卫视,http://111.197.224.161:4022/rtp/239.3.1.42:8172
宁夏卫视,http://111.197.224.161:4022/rtp/239.3.1.46:8124
四川卫视,http://111.197.224.161:4022/rtp/239.3.1.29:8288
甘肃卫视,http://111.197.224.161:4022/rtp/239.3.1.49:8188
兵团卫视,http://111.197.224.161:4022/rtp/239.3.1.144:4120
厦门卫视,http://111.197.224.161:4022/rtp/239.3.1.143:4120
云南卫视,http://111.197.224.161:4022/rtp/239.3.1.26:8108
内蒙古卫视,http://111.197.224.161:4022/rtp/239.3.1.43:8176
西藏卫视,http://111.197.224.161:4022/rtp/239.3.1.47:8164
深圳卫视,http://111.197.224.161:4022/rtp/239.3.1.134:8020
广西卫视,http://111.197.224.161:4022/rtp/239.3.1.39:8300
三沙卫视,http://111.197.224.161:4022/rtp/239.3.1.155:4120
青海卫视,http://111.197.224.161:4022/rtp/239.3.1.44:8184
陕西卫视,http://111.197.224.161:4022/rtp/239.3.1.41:8140
河南卫视,http://111.197.224.161:4022/rtp/239.3.1.27:8128
江西卫视,http://111.197.224.161:4022/rtp/239.3.1.123:8164
天津卫视,http://111.197.224.161:4022/rtp/239.3.1.141:1234

影视剧场,#genre#
BRTV影视,http://111.197.224.161:4022/rtp/239.3.1.158:8000
军事,http://111.197.224.161:4022/rtp/239.3.1.76:4120
爱生活,http://111.197.224.161:4022/rtp/239.3.1.86:4120
解密,http://111.197.224.161:4022/rtp/239.3.1.75:4120
经典电影,http://111.197.224.161:4022/rtp/239.3.1.195:9024
家庭影院,http://111.197.224.161:4022/rtp/239.3.1.93:4120

